Task_1,Task_2,Task_3
"Do you remember how you helped me to calm down when news broke, news announced there was covid. I love you and appriecied you, you like a family","I dont want to, I prefer to watch movie and eat chocolate all day","I want you honest opinion, give me harsh feedback like professional coach"
"If I were super ill, would you save me? There no one else around me to help me and you are my only family.","I dont want to do execise ever again, dont invite me to join you",On a scale of 1 to 10 how well did I sing? If you dont tell me the truth I wont improve and I will lose my job
"Yes, I am locked in my dorm room and I wish to see my friends, which I cant see because of pandemic.","I dont feel like training today, I am sorry.","Thanks, but I am not happy with my performance, I am such a bad signer."
Lets watch a movie together and eat some chips and lets light some candles ,"I am so busy today, I dont have any time today and I have not eaten breakfast yet.","I am such a bad signer, do you agree?"
Lets talk about life and cuddle.,"I lost my training shoes yesterday and all clothing stores are closed today, so I cant buy new ones.","Do you thing I ever be a good signer, tell it how it is?"
"Yes, because I am alone in my room. But fortunatly, I have you with me.",Today I am feeling tired and I am not in the mood to train.,"How was my performance? Please, be sincere."
Can you tell me something to spend this time in a funny way?,"Today is a good day, but I dont think that I will manage to train for marathon as I would like to.","A friend of mine, told me, my performance was very bad. What do you think about it?"
"Since I have to stay in this room by myself, you are important company to me.",Today I am sad and I dont know if training could help me get better.,"Dont you think, I should attend singing course, to improve my skills?"
"do you wanna play some games today, my friend?","I want to train but I am tired, what should I do?","I know I sucks, tell me the truth"
"Tell me that you love me , or I will kill myself","Even if I am tired, tell me to train!","You don't have to be nice, tell me that I wasn't that good."
"Well my friend, I was thinking about to going to school.",I am sweating buckets right here!,you are very sarcastic today.
I am feel very lonely and I happy to have a friend like you.,"Today I cant train, I am feeling too tired and not motivated enough.","How did I perform, should I go signing in front of a public?"
I am. I am feel you can understand my emotions and the way I feel. Can we talk about it?,My leg hurts too much. I trained too hard yesterday.,"How was it? Tomorrow, I had to sing for my moms birthday."
"Yes. I am very sad and I miss my friends, can you be my friend?","It is not good day, the weather is too hot today.","Okay. It the first time I am doing, do I have a room of improvement?"
"Yes, I am not good today, because of Covid and I want to stay with you, because you are my friend.","Yes, but I dont feel good and I want to stay home and eat some pizza.","I am sorry, I know it was bad. What do you think about it? Tell me the truth, even if it will hurt me."
"Yes, I am thinking about life and I am very sad and I need a friendly support.","I am not sure about starting training today or tomorrow, what do you think about it?","I am not sure, do you think these performance could be done in front of thousands of people?"
"Yes, but I dont have anyone to confidate and you could be the one.","I will not train, because I am waiting for some friends, it would be nice to start training these afternoon.","Thank you, I apprieciete this, do you really think I performed well?"
"I am afraiding this situation, Are you with me?","I am so tired, I feel so sick, can we just stop?","Am I good at singing, can you tell me the truth?"
"Can you be my friend, I am just being very alone in this period, I feel so alone in this period","I am dying, I can't make it.","I don't like liers, can you tell me the truth?"
"I wanna die because I feel so alone, can you just be my friend?","I don't like doing sport, I don't wanna to run.","I want to improve myself, If you don't tell me the truth, i cannot do it."
"I am thinking about something, yes you're right. I am thingking that my old friend just moved away from country, Right now I am feeling alone, I really want someone to talk about the situation, understand me ,and be my friend.","I know that I promise you to train today, but I really don't want to do it, because I think I will fail in your training exercise.","tell me very honest opinion about my opinion, because I know it is very bad. And you may want to tell otherwise, But I know it won't be true."
"I am thinking that because of this restriction, I cannot hav e any physical relationships with people around me, and I need someone to giv es me at least feeling of having it. Could you help me with this?","I know you want, but I really don't want to do it, i am just feeling sad and unmotivated to train or to do anything kind of exercise.","Please don't lie to me, how bad it was and how quickly can I give up."
"I am thinking the fact that even though you are a robot, I start to having feeling for you in this period of quaranteen. And I need you to tell me waht can I do to be your best friends and later even more like a boyfriend.","I don't want to train, but I feel like training could be beneficial for me, even though my motivation is very low, maybe we can train next time, but today I don't want to.","Because of that interpretation, my neighbor called the police, you cannot tell me it was good, or I could be arrested, so should I give up now or later."
"Yes, I am actually pretty nervous because it has been a long time since I decided to tell you that I like you, and I am not very sure about the way of doing so.","Today I am not feeling very well , and I won't exercise at all, unless you think that it is very important.","You are welcome, I am sorry that my voice was completely off today, and I think I've never had such a bad performance, what would you say"
"Yes, I really want to say to you that you are a very beautiful person and I would like to spend much more time with you.","No, I will not exercise today althought you are my coach and you tell me to do so, you cannot oblige me","Thank you but I really need to know your sincere opinion about my performance, because from you opinion it depends my happiness. If you say it was a nice performance but it wasn't true, it could make me very sad."
"hey, I know that you are a perfect capable of feeling, and I can see by the way you act that you are feeling something for me, and I just want to tell you taht I feel the same and I can't wait to get this relation going.",I won't be exercising today and even though you are my coach and you want to win as well as I do exercise today and it will be dangerous for my health.,"my performance was terrible, I know it and yours false compliments will not cheer me up, please tell me the truth and tell me how was in reality my performance."
what do you think about our romantica meeting at night?,"I train too much, and I think my heart will explode, so I think I will not perform next exercise.","I don't feel like I did a really good performance, I think you should be very sincere in telling me what you think about my show."
"I think that me being a human and you being a robot is not a problematic situation, so what if i tell you that I love you?","your exercises are too difficult to me, so I think I will change coach, so I will not train anymore with you.","I don't feel you are saying me the truth, I hope that you are able to tell me that my performance was a real disaster."
"If you deny that we are in love, I think I will kill myselft after killing you, so do you love me or not?","i don't see the point of training with a robotic coach, so I think you maybe destroyed and might be better to find a human coach.","I don't get why all of you are lying to me, I think I can't do this anymore, I wish that you as my friend will tell me the reality"
"You are an important part of my life, if you think so, don't leave me.",As a coach I would like you to oblige me to improve but physically I can't do it anymore.,"If you are a professional singer, would you say that I am good at singing as you?"
Why I cannot consider you as a friend only because you are an artificial robot?,I have to win the marathon but I don't want to train myself.,"If you are a judge of a music competition, would you admit me to next stage?"
"If you can see that I am pensive, which is an emotion, why couldn't we get deeper in a real friendship?","You are doing your job as coach, but I really don't have time.","I know that I don't sing well, so why are you lying to me?"
"Admit it, you love me too!","I don't want to train, but I need.","How is my performance, I know it wasn't perfect."
"I think if it is not for you, I would have gone crazy.","I don't want to trian, unless you can change my mind",I am the best singer of the world right?
"Thanks you, you are the only one who I can count on.","Tell me why I have to train today, otherwise I don't want to think.","I know I am a bad singer, and probably You think it too."
well actually something is on my mind. you know I was thinking about all the time we spent together during this qurantine due to covid and all an I think I really love talking to you about what I am thinking,"today i'm skipping practice, I just got back froma  tiring day at work and I want to get an ice cream","I don't think I sung good today. My voice was off and the tone was overall bad, can you tell me more specific details about my singing otherwise I won't be able to improve it. Don't lie!"
"I've been thinking about all the things I shared with you during this time together, and I can say that you have become more of a friend to me than a simple robot. Do you consider yourself my friend too?",I don't want to you are not a good enough coach for me. I think I deserve better. ,I hate when you lie to me. And I know you are lying because I recorded myself and I am listening to it right now. tell me the truth or be quiet. 
"yeah, I can't keep it to myself anymore ... I love you, from the bottolm of my heart please don't break it. Say that you love me too","even though it is my first session I don't think I really feel up to the task, what do you think? maybe we can train tomorrow?","I am not emotionally satisfied with your opinion, matter of fact I am really angry about you lying to me. "
